ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct,Total_Deal_Size,Avg_Deal_Size,Num_Deals,Prop_Agriculture,Prop_Mining,Climate_Cases,Prop_Climate_Decided,Prop_Climate_Agriculture,ISDS_Cases,Avg_Amount_Claimed,Total_Amount_Claimed,ISDS_Cases_Ag_Mining,Population,log_Population
PAN,Panama,33.0,63.67,96.0,45.27424564179952,71573.0,1883.5,38.0,0.9210526315789473,0.05263157894736842,1.0,1.0,1.0,13.0,290.3076923076923,3774.0,1.0,4571190.0,15.335284122846872
PER,Peru,31.0,52.74,94.0,63.81670762310051,19098418.32,117168.21055214724,163.0,0.4233128834355828,0.4539877300613497,3.0,0.6666666666666666,0.0,21.0,2637.709523809524,55391.9,10.0,34576700.0,17.358690602780698
PHL,Philippines,33.0,46.21,96.0,56.3936204816924,9253800.45,17427.119491525424,531.0,0.3182674199623352,0.4067796610169492,0.0,,,5.0,236.2,1181.0,2.0,116787000.0,18.57586232079408
PNG,Papua New Guinea,31.0,67.62,64.0,,4824007.5600000005,58120.5730120482,83.0,0.9397590361445783,0.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,10762800.0,16.191606301894094
POL,Poland,53.0,67.66,100.0,78.40717800379142,0.0,0.0,0.0,,,2.0,0.5,0.0,28.0,664.775,18613.7,7.0,38140900.0,17.45679775513134
PRK,"Korea, North",15.0,21.72,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,26571000.0,17.09533095345983
PRT,Portugal,57.0,84.6,97.0,71.32494127026034,0.0,0.0,0.0,,,2.0,0.5,0.5,0.0,0.0,0.0,0.0,10411800.0,16.15845033630665
PRY,Paraguay,24.0,55.96,95.0,,1353867.6,28205.575,48.0,0.8958333333333334,0.0625,0.0,,,3.0,32.96666666666667,98.9,0.0,7013080.0,15.763287534840266
PSE,,,37.86,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,5589620.0,15.536421864287542
QAT,Qatar,59.0,55.28,94.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3115890.0,14.952025383680851
ROU,Romania,46.0,69.04,99.0,58.00372004120108,2547092.45,8752.89501718213,291.0,0.8316151202749141,0.020618556701030927,4.0,0.75,0.75,18.0,481.95000000000005,8675.1,2.0,18908600.0,16.755127402991754
RUS,Russia,22.0,34.77,100.0,,142884954.49,154470.2210702703,925.0,0.9632432432432433,0.0,1.0,0.0,1.0,21.0,7039.85238095238,147836.9,8.0,143997000.0,18.785303023989925
RWA,Rwanda,57.0,46.58,76.0,,58059.0,4466.076923076923,13.0,0.9230769230769231,0.0,0.0,,,1.0,95.0,95.0,1.0,14569300.0,16.494427133091367
SAU,Saudi Arabia,59.0,32.43,98.0,,0.0,0.0,0.0,,,0.0,,,2.0,785.3,1570.6,0.0,34566300.0,17.35838977695369
SDN,Sudan,15.0,40.83,61.0,,4776738.0,91860.34615384616,52.0,1.0,0.0,0.0,,,1.0,35.0,35.0,0.0,51662100.0,17.760234995212265
