Case URL,Case Filing Year for Action,Status,Case Categories,Geographies,agriculture,construction,education,energy_supply,enviromental_management,extractive,finance_insurance,fishing,forestry,informal,manufacturing,media,public,trade,transportation_logistics,water_management,num_sectors
https://www.climatecasechart.com/document/alberta-v-the-government-of-ontario_1470,2021,Pending,Environmental assessment and permitting;Suits against governments,CAN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/aliya-hirji-travis-olson-ravneet-singh-et-chloe-tse-v-canada-pension-plan-investment-board_4e82,2025,Pending,"Corporations;Suits against corporations, individuals",CAN;CA-ON,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,7
https://www.climatecasechart.com/document/allco-renewable-energy-ltd-v-haaland-vineyard-wind_5627,2021,Notice of appeal filed by plaintiff.,Clean Water Act;Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-MA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3
https://www.climatecasechart.com/document/allhoff-cramer-v-volkswagen-ag_822d,2021,Decided,"Corporations;Suits against corporations, individuals;GHG emissions reduction",DEU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
https://www.climatecasechart.com/document/alliance-for-the-wild-rockies-v-james_44f8,2025,Complaint filed.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-MT,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,7
https://www.climatecasechart.com/document/alliance-for-the-wild-rockies-v-u-s-forest-service_15e6,2024,Finding of no significant impact remanded for further evaluation under NEPA consistent with this decision.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-WA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4
https://www.climatecasechart.com/document/alliance-for-the-wild-rockies-v-vilsack_ce88,2024,First amended complaint filed.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-MT,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,6
https://www.climatecasechart.com/document/alliance-for-water-efficiency-v-u-s-department-of-energy_13c4,2021,Motion to unconsolidate and transfer granted.,Federal Statutory Claims;Other Statutes and Regulations,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
https://www.climatecasechart.com/document/alliance-for-water-efficiency-v-u-s-department-of-energy_6843,2021,Motion for stay pending review filed.,Federal Statutory Claims;Other Statutes and Regulations,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
https://www.climatecasechart.com/document/alliance-for-water-efficiency-v-u-s-department-of-energy_834c,2021,Appeal voluntarily dismissed.,Federal Statutory Claims;Other Statutes and Regulations,USA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3
