respondent_state,investor_home_state,economic_sector,economic_subsector,summary_of_dispute,amount_claimed_raw,year,amount_claimed_musd,respondent_state_iso3,investor_home_state_iso3,sector_A,sector_B,sector_C,sector_D,sector_E,sector_F,sector_G,sector_H,sector_I,sector_J,sector_K,sector_L,sector_M,sector_N,sector_O
Argentina,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of disagreements over a concession agreement for the provision of electricity distribution services in the Santiago del Estero province in Argentina.,10.00 USD,1998,10.0,ARG,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine,United States of America,J - Information and communication,60 - Programming and broadcasting activities,Claims arising out of claimant's difficulties in obtaining licenses for radio frequencies and broadcasting channels in Ukraine.,Data not available,1998,,UKR,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States of America,Canada,S - Other service activities,96 - Other personal service activities,Claims arising out of alleged mistreatment caused to the investor by the state of Mississippi in the course of commercial litigation between the claimant and one of its competitors in the funeral home and funeral insurance business.,725.00 USD,1998,725.0,USA,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,United States of America,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","Claims arising out of Canada's ban on the export of PCB wastes from Canada to the United States in late 1995 and alleged economic harm to the investor resulting from the imposition of such ban through interference with its operations, lost contracts and opportunities in Canada.",70.90 USD,1998,70.9,CAN,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paraguay,Peru,C - Manufacturing,10 - Manufacture of food products,"Claims arising out of the alleged mistreatment received by Mr. Olguin from the Paraguayan authorities relating to his investment in a company for the manufacture and distribution of food products in Paraguay, including the alleged Government's failure to properly supervise the financial institution where the claimant's capital contributions were deposited.",2407.00 PYG (1.30 USD),1998,1.3,PRY,PER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Spain,J - Information and communication,58 - Publishing activities,"Claims arising out of the confiscation and eventual expropriation in the 1970s of the newspaper El Clarín, of which Victor Pey Casado and the President Allende Foundation claimed ownership.",515.00 USD,1998,515.0,CHL,ESP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poland,Germany,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",Claims arising out of the prohibition on importation of raw material waste paper pursuant to a statutory amendment concerning environmental protection.,3.00 USD,1998,3.0,POL,DEU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","Claims arising out of the alleged breach of a 15-year concession granted by the State of Guerrero and the municipality of Acapulco to Acaverde, USA Waste's Mexican subsidiary, for public waste management services.",36.00 USD,1998,36.0,MEX,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Egypt,United Kingdom,L - Real estate activities,68 - Real estate activities,"Claims arising out of the alleged breach of agreements to develop and manage two hotels in Luxor and Cairo, Egypt, as well as an alleged campaign of continual harassment to the investor by the Government of Egypt.",62.80 USD,1998,62.8,EGY,GBR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mexico,United States of America,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",Claims arising out of the cancellation by the Mexican city council of Naucalpan of a concession contract for commercial and industrial waste collection.,19.20 USD,1997,19.2,MEX,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
